total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label
21614,16218,5396,9,,,
31769,3552,28217,6,,,
29324,11484,17840,13,,,
23110,17707,5403,11,,,
31265,23161,8104,11,,,
33767,21210,12557,12,,,
29968,24086,5882,16,,,
25970,20923,5047,21,,,
35428,12111,23317,9,,,
31665,5072,26593,13,,,
29533,16314,13219,11,,,
31942,21056,10886,6,,,
31837,8493,23344,9,,,
28987,3177,25810,11,,,
25140,13744,11396,14,,,
33206,4816,28390,17,,,
33223,2879,30344,17,,,
31616,5861,25755,11,,,
27797,8587,19210,18,,,
35241,18220,17021,10,,,
31319,27110,4209,5,,,
32974,22714,10260,15,,,
31393,3541,27852,18,,,
31352,18359,12993,13,,,
31032,21445,9587,10,,,
34500,25506,8994,16,,,
36019,14817,21202,8,,,
29441,27893,1548,19,,,
41961,30831,11130,18,,,
27840,21870,5970,12,,,
34858,24798,10060,5,,,
27562,9019,18543,14,,,
26177,17651,8526,23,,,
25668,8103,17565,23,,,
33179,12390,20789,26,,,
21506,12970,8536,12,,,
27034,3504,23530,6,,,
28728,22705,6023,5,,,
30504,2671,27833,17,,,
27902,25868,2034,16,,,
33357,4549,28808,11,,,
35555,24203,11352,10,,,
35173,871,34302,15,,,
31110,26425,4685,25,,,
15399,2577,12822,15,,,
21228,16387,4841,12,,,
27628,15620,12008,13,,,
25785,22838,2947,18,,,
38244,23833,14411,11,,,
33960,17369,16591,20,,,
35353,22402,12951,9,,,
31849,26851,4998,14,,,
31318,27969,3349,11,,,
23563,1972,21591,13,,,
29053,6359,22694,11,,,
25799,23435,2364,12,,,
25784,7808,17976,31,,,
30089,8051,22038,9,,,
23704,23185,519,11,,,
29997,24626,5371,6,,,
34212,20892,13320,5,,,
33618,32551,1067,14,,,
25980,53,25927,10,,,
27358,9281,18077,26,,,
24782,3442,21340,12,,,
23752,6113,17639,21,,,
19401,16459,2942,25,,,
30267,22606,7661,7,,,
27706,22647,5059,19,,,
33153,4873,28280,13,,,
32297,12613,19684,6,,,
31621,8154,23467,16,,,
27759,21275,6484,11,,,
25240,649,24591,8,,,
24416,5269,19147,17,,,
31466,29046,2420,11,,,
28300,26889,1411,9,,,
27643,27623,20,9,,,
34111,7703,26408,17,,,
27873,9054,18819,34,,,
29728,4133,25595,7,,,
29146,15125,14021,9,,,
29878,24906,4972,15,,,
21241,12233,9008,18,,,
31917,5942,25975,16,,,
25249,1925,23324,17,,,
23237,20853,2384,5,,,
29811,15673,14138,16,,,
36595,30892,5703,19,,,
33877,3441,30436,10,,,
27354,4849,22505,18,,,
31453,616,30837,21,,,
30124,21593,8531,15,,,
23935,22722,1213,10,,,
38043,27013,11030,24,,,
27111,1718,25393,4,,,
29404,17320,12084,19,,,
30714,25003,5711,13,,,
26203,13253,12950,20,,,
35243,2880,32363,6,,,
25415,18412,7003,18,,,
29680,4366,25314,10,,,
34173,28360,5813,17,,,
37787,1010,36777,17,,,
28380,17376,11004,14,,,
30937,22382,8555,16,,,
33542,6392,27150,16,,,
23951,4710,19241,22,,,
22241,18759,3482,8,,,
37954,5239,32715,5,,,
27384,12905,14479,17,,,
23445,21348,2097,12,,,
29489,16525,12964,8,,,
31762,29629,2133,15,,,
33284,15338,17946,13,,,
19940,2458,17482,12,,,
29911,9322,20589,10,,,
31939,17769,14170,21,,,
29880,7245,22635,13,,,
27661,3196,24465,7,,,
36243,6058,30185,11,,,
33160,31375,1785,10,,,
33481,32434,1047,12,,,
23992,19687,4305,18,,,
27575,17668,9907,12,,,
19554,6015,13539,6,,,
27851,13475,14376,15,,,
25773,13337,12436,19,,,
31261,14835,16426,12,,,
25070,7318,17752,6,,,
33359,20816,12543,12,,,
27847,17291,10556,31,,,
33085,11174,21911,11,,,
21611,17865,3746,15,,,
33398,24007,9391,5,,,
27852,15645,12207,12,,,
21948,5153,16795,7,,,
35576,21436,14140,17,,,
35825,10559,25266,9,,,
27569,10479,17090,8,,,
31987,10271,21716,15,,,
27825,17710,10115,10,,,
28027,12205,15822,23,,,
37947,8385,29562,3,,,
30282,5792,24490,9,,,
27049,11847,15202,14,,,
33830,24788,9042,11,,,
26146,25961,185,14,,,
33357,14466,18891,22,,,
29593,28488,1105,17,,,
21585,9006,12579,17,,,
32376,8071,24305,9,,,
30163,2626,27537,14,,,
33782,20348,13434,12,,,
27405,16910,10495,20,,,
33773,22309,11464,17,,,
27586,6037,21549,10,,,
31184,8269,22915,7,,,
21850,20488,1362,11,,,
27890,25068,2822,9,,,
21678,14372,7306,20,,,
39617,17763,21854,23,,,
35310,21033,14277,8,,,
33638,28391,5247,19,,,
30188,1246,28942,15,,,
22823,4830,17993,9,,,
25147,19357,5790,19,,,
25439,21010,4429,19,,,
25696,4583,21113,9,,,
27590,12624,14966,21,,,
27822,24743,3079,23,,,
27448,12835,14613,14,,,
27619,11823,15796,11,,,
35155,2765,32390,21,,,
38134,29196,8938,11,,,
33749,7875,25874,6,,,
32231,2243,29988,23,,,
33442,22975,10467,14,,,
22064,16964,5100,13,,,
29563,11960,17603,8,,,
33482,6504,26978,4,,,
30090,12365,17725,5,,,
32183,5409,26774,10,,,
29634,3315,26319,26,,,
21381,12248,9133,9,,,
29712,23847,5865,16,,,
23730,20945,2785,18,,,
32043,22038,10005,12,,,
31445,1462,29983,16,,,
29715,9373,20342,18,,,
36307,12224,24083,24,,,
27858,27090,768,15,,,
25712,21463,4249,19,,,
32856,18039,14817,15,,,
29851,21342,8509,11,,,
33545,15159,18386,24,,,
27307,2886,24421,17,,,
28558,26294,2264,7,,,
37314,17899,19415,18,,,
24780,3080,21700,13,,,
29432,24404,5028,15,,,
31988,13071,18917,12,,,
23952,12223,11729,5,,,
31284,25946,5338,14,,,
29535,20450,9085,13,,,
33390,13678,19712,7,,,
29800,16726,13074,26,,,
23725,14848,8877,15,,,
33613,11725,21888,9,,,
17344,1977,15367,21,,,
32083,5520,26563,13,,,
33955,16442,17513,11,,,
27019,9139,17880,13,,,
25785,17198,8587,14,,,
29730,14013,15717,17,,,
37354,36045,1309,7,,,
27577,2580,24997,18,,,
28997,19583,9414,11,,,
31116,19876,11240,20,,,
31423,18876,12547,9,,,
25602,10793,14809,16,,,
23302,14496,8806,13,,,
31983,24925,7058,20,,,
32115,15555,16560,17,,,
33479,30940,2539,8,,,
26065,10463,15602,8,,,
30251,14881,15370,8,,,
25835,2836,22999,12,,,
27757,5812,21945,16,,,
33024,31553,1471,10,,,
37804,32475,5329,11,,,
30126,2061,28065,6,,,
25917,17100,8817,19,,,
28924,13021,15903,7,,,
33403,15941,17462,17,,,
31873,1744,30129,8,,,
27663,6400,21263,19,,,
29555,20534,9021,17,,,
33774,9830,23944,19,,,
29796,26908,2888,19,,,
31731,10149,21582,14,,,
33710,6396,27314,14,,,
21822,19854,1968,6,,,
25970,17602,8368,17,,,
25454,14957,10497,17,,,
31850,24155,7695,8,,,
23469,1710,21759,7,,,
29606,26791,2815,10,,,
29306,14202,15104,12,,,
19547,13354,6193,18,,,
29609,17343,12266,9,,,
31606,21376,10230,12,,,
26278,1919,24359,12,,,
25558,12368,13190,9,,,
30726,16185,14541,9,,,
29390,14598,14792,11,,,
35805,592,35213,7,,,
25820,15669,10151,16,,,
35712,18472,17240,12,,,
31940,25091,6849,5,,,
27910,5204,22706,10,,,
35727,26807,8920,15,,,
35861,35532,329,9,,,
32809,5026,27783,13,,,
27690,1966,25724,17,,,
34384,16012,18372,13,,,
34229,26754,7475,13,,,
30136,22831,7305,8,,,
29728,23498,6230,13,,,
31207,7741,23466,12,,,
23811,321,23490,15,,,
25440,18265,7175,13,,,
28022,16969,11053,17,,,
28484,21537,6947,14,,,
34509,31493,3016,25,,,
31495,10767,20728,7,,,
29667,21482,8185,11,,,
37340,28604,8736,17,,,
27847,21822,6025,8,,,
21410,8628,12782,20,,,
25997,14657,11340,20,,,
27450,6480,20970,4,,,
29476,4022,25454,20,,,
28342,20865,7477,15,,,
35725,33131,2594,12,,,
35404,13438,21966,9,,,
32825,6981,25844,10,,,
37628,21082,16546,14,,,
27873,24243,3630,13,,,
29732,22512,7220,15,,,
35921,19781,16140,8,,,
31838,27621,4217,14,,,
27936,26317,1619,16,,,
31779,26683,5096,10,,,
31195,2128,29067,11,,,
33465,2115,31350,16,,,
35616,27515,8101,7,,,
37433,25183,12250,15,,,
27818,13725,14093,11,,,
33652,18412,15240,5,,,
29341,27561,1780,7,,,
35663,16796,18867,12,,,
25414,20779,4635,10,,,
31743,6370,25373,11,,,
23891,4198,19693,8,,,
30168,27854,2314,23,,,
29761,6614,23147,22,,,
37803,23872,13931,9,,,
25619,11321,14298,17,,,
31655,27819,3836,19,,,
23561,2638,20923,16,,,
27707,24530,3177,15,,,
33150,16249,16901,16,,,
31313,1312,30001,25,,,
35789,12449,23340,5,,,
37497,18743,18754,22,,,
19504,7967,11537,23,,,
33567,18918,14649,17,,,
29191,15628,13563,16,,,
24848,4004,20844,17,,,
33016,18349,14667,18,,,
27873,1525,26348,7,,,
35728,13637,22091,16,,,
31111,24587,6524,13,,,
31952,1949,30003,11,,,
27168,9999,17169,16,,,
33762,24452,9310,20,,,
29271,10695,18576,10,,,
30144,27179,2965,15,,,
32066,9896,22170,8,,,
29847,23863,5984,15,,,
31670,641,31029,15,,,
34057,17798,16259,13,,,
29635,28261,1374,17,,,
33127,7313,25814,7,,,
30633,8102,22531,10,,,
26108,20180,5928,21,,,
33200,16185,17015,13,,,
27037,7447,19590,5,,,
32522,14967,17555,17,,,
33544,30522,3022,6,,,
29292,23192,6100,12,,,
33011,23334,9677,16,,,
29503,20382,9121,18,,,
30920,15809,15111,9,,,
31944,13257,18687,15,,,
23867,22253,1614,21,,,
32363,27892,4471,17,,,
25623,22837,2786,8,,,
27328,7899,19429,18,,,
25977,16042,9935,9,,,
21955,8029,13926,3,,,
25098,11054,14044,5,,,
25757,22418,3339,10,,,
33196,13243,19953,5,,,
35304,7026,28278,20,,,
21489,2063,19426,9,,,
26053,10893,15160,10,,,
29121,3185,25936,14,,,
27628,1215,26413,15,,,
25860,1283,24577,7,,,
31805,5671,26134,12,,,
21857,9693,12164,14,,,
21469,8861,12608,17,,,
29111,26611,2500,9,,,
32196,23179,9017,15,,,
23781,10576,13205,13,,,
37827,24254,13573,3,,,
21991,2206,19785,22,,,
21819,8458,13361,22,,,
31269,28132,3137,14,,,
27673,17477,10196,14,,,
24200,3997,20203,6,,,
31948,556,31392,14,,,
21781,6394,15387,8,,,
29586,8552,21034,8,,,
29478,29134,344,14,,,
37103,8999,28104,12,,,
24143,2892,21251,18,,,
25357,21189,4168,17,,,
29570,4895,24675,18,,,
26182,15408,10774,15,,,
23945,19860,4085,9,,,
26836,7808,19028,11,,,
29785,4410,25375,8,,,
26325,11991,14334,7,,,
25803,22190,3613,7,,,
27961,49,27912,8,,,
35517,27871,7646,16,,,
25903,23183,2720,22,,,
25700,10900,14800,9,,,
19235,4885,14350,15,,,
30004,4982,25022,11,,,
29615,12590,17025,25,,,
26209,21316,4893,17,,,
31853,14219,17634,13,,,
25118,9934,15184,21,,,
35271,22113,13158,11,,,
29493,9568,19925,20,,,
27423,17719,9704,9,,,
21508,2009,19499,19,,,
30169,27551,2618,15,,,
28149,20747,7402,10,,,
35693,20917,14776,7,,,
32065,7286,24779,20,,,
25409,22384,3025,21,,,
31882,13821,18061,3,,,
25498,14067,11431,9,,,
31681,179,31502,15,,,
33597,12821,20776,15,,,
27180,15261,11919,12,,,
25499,17188,8311,14,,,
31591,12334,19257,21,,,
33745,21251,12494,10,,,
33029,16146,16883,16,,,
34292,30368,3924,12,,,
33392,30107,3285,13,,,
25920,22913,3007,21,,,
27356,26241,1115,14,,,
27589,5836,21753,20,,,
28802,23473,5329,16,,,
27376,25754,1622,12,,,
27616,14980,12636,14,,,
31558,13202,18356,19,,,
31982,29301,2681,11,,,
31688,5776,25912,22,,,
29777,28838,939,25,,,
29256,3328,25928,6,,,
33325,12759,20566,7,,,
27044,20304,6740,14,,,
31021,25632,5389,12,,,
35497,34902,595,8,,,
31346,25518,5828,15,,,
27837,30,27807,5,,,
32887,1158,31729,12,,,
30627,11655,18972,9,,,
29744,23158,6586,26,,,
27759,3431,24328,9,,,
20669,2202,18467,4,,,
34074,34020,54,12,,,
30174,4765,25409,14,,,
26190,6827,19363,14,,,
31203,15387,15816,11,,,
37734,27050,10684,14,,,
27326,19340,7986,16,,,
33397,983,32414,25,,,
24150,18769,5381,6,,,
31585,31281,304,15,,,
32874,32204,670,12,,,
32005,10466,21539,6,,,
33408,6061,27347,9,,,
33543,22939,10604,13,,,
31386,23779,7607,9,,,
29868,5337,24531,13,,,
32105,19781,12324,5,,,
32409,12390,20019,30,,,
29618,10313,19305,17,,,
29685,12952,16733,6,,,
27558,11252,16306,5,,,
36180,29033,7147,18,,,
34048,33249,799,21,,,
31338,5781,25557,14,,,
34311,22846,11465,15,,,
32645,26579,6066,13,,,
19842,12742,7100,13,,,
29050,8354,20696,13,,,
27512,2943,24569,20,,,
27626,20677,6949,21,,,
21756,11866,9890,5,,,
27865,3938,23927,9,,,
23831,3702,20129,10,,,
31689,23849,7840,18,,,
29467,12714,16753,8,,,
30979,2243,28736,11,,,
26904,465,26439,18,,,
31187,6527,24660,18,,,
33346,11353,21993,17,,,
37847,1700,36147,15,,,
33318,7140,26178,27,,,
24996,8933,16063,24,,,
35714,868,34846,20,,,
27617,16261,11356,13,,,
29683,24594,5089,25,,,
29862,12148,17714,17,,,
33967,30640,3327,25,,,
27975,11195,16780,19,,,
31478,28145,3333,9,,,
33793,13308,20485,4,,,
28862,9825,19037,16,,,
31960,31276,684,25,,,
23083,8456,14627,5,,,
32011,16984,15027,16,,,
36153,11438,24715,9,,,
31713,24414,7299,13,,,
29748,25214,4534,13,,,
27189,20849,6340,14,,,
32018,13881,18137,19,,,
35465,10884,24581,21,,,
27682,21168,6514,18,,,
31677,15896,15781,14,,,
23772,15805,7967,13,,,
23826,22204,1622,16,,,
34615,30151,4464,20,,,
35249,17275,17974,23,,,
31458,12070,19388,14,,,
31540,26126,5414,9,,,
25481,15314,10167,16,,,
25387,16097,9290,9,,,
29414,23920,5494,8,,,
31873,7854,24019,14,,,
33786,12368,21418,16,,,
31227,12653,18574,11,,,
23391,6535,16856,13,,,
26970,22791,4179,10,,,
29328,6834,22494,16,,,
25739,4723,21016,9,,,
35197,20086,15111,13,,,
33624,26982,6642,20,,,
28377,477,27900,10,,,
29166,27037,2129,8,,,
31493,22273,9220,11,,,
26109,10241,15868,14,,,
34433,31151,3282,26,,,
33565,40,33525,17,,,
33438,32819,619,5,,,
30193,20933,9260,20,,,
31622,2766,28856,19,,,
25110,24371,739,11,,,
33965,15530,18435,11,,,
29208,2167,27041,14,,,
29656,11854,17802,14,,,
27758,11285,16473,11,,,
29982,10519,19463,8,,,
27777,25837,1940,19,,,
31494,16346,15148,11,,,
33904,18722,15182,15,,,
25713,1059,24654,19,,,
33679,140,33539,12,,,
30212,5499,24713,15,,,
29806,20616,9190,11,,,
31407,19024,12383,16,,,
27991,22226,5765,9,,,
36534,31396,5138,20,,,
37755,17192,20563,17,,,
26293,16502,9791,20,,,
32888,12957,19931,10,,,
27516,21189,6327,13,,,
33546,28340,5206,15,,,
27503,25859,1644,4,,,
32926,6594,26332,16,,,
33574,15060,18514,3,,,
29187,17806,11381,4,,,
32885,28252,4633,14,,,
29284,17815,11469,16,,,
25089,22625,2464,6,,,
31458,12357,19101,14,,,
28000,2734,25266,11,,,
34256,5724,28532,15,,,
34594,432,34162,16,,,
34060,15760,18300,18,,,
31217,12914,18303,7,,,
35398,9767,25631,10,,,
31106,5192,25914,7,,,
29974,9869,20105,16,,,
36395,15815,20580,6,,,
32961,17039,15922,11,,,
25683,10100,15583,15,,,
35741,24094,11647,20,,,
32383,24129,8254,8,,,
25401,7106,18295,9,,,
29379,5951,23428,14,,,
29419,26375,3044,21,,,
33093,24281,8812,20,,,
25758,12155,13603,5,,,
23725,16062,7663,11,,,
29370,6851,22519,14,,,
31202,18301,12901,13,,,
27217,685,26532,18,,,
32053,21190,10863,7,,,
24756,12959,11797,19,,,
31160,10471,20689,13,,,
29235,9859,19376,7,,,
33911,4502,29409,3,,,
31823,25894,5929,19,,,
37577,30321,7256,16,,,
31829,19846,11983,16,,,
29588,23823,5765,6,,,
32246,13641,18605,19,,,
34442,21595,12847,20,,,
31876,26272,5604,16,,,
26126,934,25192,20,,,
31827,28076,3751,12,,,
30981,22379,8602,15,,,
32792,4328,28464,27,,,
25561,7860,17701,19,,,
25647,1726,23921,19,,,
35848,28639,7209,19,,,
27408,21258,6150,14,,,
20009,12684,7325,19,,,
25361,12125,13236,20,,,
28012,15208,12804,15,,,
28037,21066,6971,9,,,
31164,24184,6980,21,,,
29309,20292,9017,15,,,
23121,20336,2785,14,,,
33987,8979,25008,18,,,
33290,27047,6243,19,,,
23011,3892,19119,18,,,
28056,6396,21660,11,,,
40356,9420,30936,23,,,
24696,16338,8358,10,,,
23248,20209,3039,13,,,
19572,2346,17226,19,,,
37930,22910,15020,14,,,
27646,22083,5563,6,,,
25965,14144,11821,28,,,
25578,14392,11186,19,,,
39777,26673,13104,11,,,
36667,29154,7513,14,,,
25064,18635,6429,20,,,
30210,10143,20067,21,,,
25655,18870,6785,17,,,
29374,171,29203,17,,,
27308,12953,14355,18,,,
27921,5047,22874,10,,,
31541,28282,3259,24,,,
30046,11166,18880,14,,,
35560,28897,6663,19,,,
29111,11538,17573,15,,,
25376,20273,5103,17,,,
29724,7523,22201,22,,,
25736,17672,8064,20,,,
32344,15101,17243,14,,,
31962,12743,19219,10,,,
39314,33018,6296,9,,,
27526,16926,10600,12,,,
36246,29121,7125,19,,,
29383,20900,8483,24,,,
33599,28247,5352,27,,,
37658,1838,35820,14,,,
28980,28656,324,26,,,
23629,11625,12004,11,,,
29435,24586,4849,17,,,
33336,29515,3821,19,,,
29215,20102,9113,16,,,
32749,4387,28362,15,,,
31470,17770,13700,13,,,
33002,11798,21204,7,,,
35811,3251,32560,14,,,
36822,12544,24278,16,,,
29812,11697,18115,14,,,
34882,13602,21280,16,,,
31616,28145,3471,15,,,
25380,4728,20652,19,,,
32051,978,31073,4,,,
31908,25964,5944,12,,,
25403,21464,3939,18,,,
29514,27059,2455,17,,,
32538,10105,22433,9,,,
30980,27750,3230,21,,,
25614,19851,5763,16,,,
35660,7595,28065,17,,,
38025,18394,19631,22,,,
20013,17463,2550,14,,,
25548,20819,4729,13,,,
33300,5807,27493,8,,,
31762,21958,9804,14,,,
23827,5797,18030,12,,,
29094,8476,20618,15,,,
33888,12275,21613,9,,,
31903,11150,20753,13,,,
31341,30948,393,17,,,
31074,19493,11581,9,,,
27106,22835,4271,11,,,
25556,20389,5167,22,,,
31707,19557,12150,14,,,
25590,9633,15957,11,,,
29479,17318,12161,10,,,
32150,25477,6673,10,,,
27376,7313,20063,3,,,
29506,79,29427,17,,,
28716,1550,27166,12,,,
34040,4987,29053,11,,,
31178,8941,22237,23,,,
29782,2343,27439,22,,,
27136,563,26573,9,,,
25818,20179,5639,14,,,
27546,9110,18436,18,,,
33469,31948,1521,21,,,
37967,34576,3391,6,,,
23556,13626,9930,13,,,
33654,22952,10702,15,,,
17338,12292,5046,9,,,
27136,19728,7408,15,,,
32615,199,32416,14,,,
32071,24439,7632,3,,,
31420,11597,19823,15,,,
28253,1381,26872,15,,,
29778,13568,16210,13,,,
32343,8912,23431,23,,,
26045,24983,1062,14,,,
27375,25300,2075,29,,,
17596,17196,400,20,,,
33337,5986,27351,6,,,
33216,4456,28760,11,,,
31505,16368,15137,9,,,
25889,4667,21222,13,,,
31744,1354,30390,11,,,
21219,17047,4172,14,,,
35579,1135,34444,9,,,
34070,621,33449,22,,,
30063,367,29696,11,,,
25925,9038,16887,8,,,
32159,14309,17850,9,,,
26341,835,25506,19,,,
39303,61,39242,18,,,
33649,26472,7177,17,,,
25561,8806,16755,10,,,
29421,12831,16590,8,,,
37232,21882,15350,31,,,
32395,24329,8066,12,,,
32345,8412,23933,19,,,
29572,22775,6797,8,,,
31719,7758,23961,12,,,
27825,15128,12697,13,,,
28392,7883,20509,11,,,
27982,8542,19440,13,,,
27395,6949,20446,9,,,
31613,3494,28119,9,,,
32039,9251,22788,18,,,
31554,22812,8742,14,,,
24064,5167,18897,24,,,
24433,20205,4228,12,,,
37208,9234,27974,19,,,
26837,24863,1974,21,,,
35553,31740,3813,22,,,
22925,1878,21047,20,,,
31889,24672,7217,26,,,
27877,21653,6224,4,,,
31992,8858,23134,24,,,
39122,25962,13160,7,,,
23901,20484,3417,15,,,
32805,19910,12895,21,,,
24576,16901,7675,11,,,
32066,24382,7684,9,,,
38208,31077,7131,9,,,
29254,17783,11471,24,,,
31777,49,31728,7,,,
21130,3902,17228,9,,,
31738,18609,13129,10,,,
40274,15502,24772,7,,,
23122,14946,8176,20,,,
34387,1177,33210,13,,,
27121,2222,24899,13,,,
23494,16577,6917,14,,,
31828,8090,23738,14,,,
23442,4113,19329,13,,,
29905,5364,24541,12,,,
37530,10494,27036,21,,,
32411,18363,14048,13,,,
25609,221,25388,8,,,
30120,24250,5870,17,,,
29818,6557,23261,11,,,
27479,15437,12042,8,,,
30741,2127,28614,24,,,
30188,9430,20758,15,,,
33234,17106,16128,16,,,
25663,13322,12341,13,,,
27645,3205,24440,11,,,
30404,27943,2461,14,,,
25703,8475,17228,8,,,
33861,29282,4579,7,,,
29975,7110,22865,12,,,
28452,15749,12703,13,,,
35678,7518,28160,14,,,
37168,15784,21384,13,,,
25688,9006,16682,10,,,
33894,18513,15381,16,,,
29434,4514,24920,11,,,
30570,16848,13722,17,,,
31802,25213,6589,18,,,
33115,21623,11492,22,,,
29810,21140,8670,17,,,
25756,21490,4266,7,,,
25969,8999,16970,10,,,
29844,12159,17685,20,,,
29704,18659,11045,9,,,
30804,29306,1498,17,,,
26116,21555,4561,22,,,
25421,5810,19611,11,,,
27761,20768,6993,11,,,
24965,23653,1312,14,,,
28244,2476,25768,11,,,
21801,13452,8349,8,,,
29432,9712,19720,11,,,
21910,4712,17198,9,,,
29220,26130,3090,19,,,
31508,17036,14472,13,,,
22005,1691,20314,11,,,
29450,10748,18702,18,,,
25539,1598,23941,15,,,
29221,17253,11968,14,,,
27264,24924,2340,19,,,
35113,16583,18530,23,,,
31505,19295,12210,10,,,
31804,19603,12201,13,,,
33127,10719,22408,14,,,
24248,1814,22434,15,,,
31317,29941,1376,11,,,
25932,2443,23489,11,,,
35310,11239,24071,11,,,
31288,28809,2479,6,,,
33532,6721,26811,13,,,
29525,6770,22755,10,,,
31398,6118,25280,13,,,
23351,17734,5617,22,,,
27060,16113,10947,10,,,
38002,37505,497,9,,,
21750,6522,15228,11,,,
29717,10169,19548,12,,,
23987,19278,4709,8,,,
31818,22019,9799,14,,,
31361,28605,2756,12,,,
26906,780,26126,14,,,
30296,28230,2066,15,,,
24483,6209,18274,15,,,
31371,8132,23239,19,,,
31900,4970,26930,8,,,
36557,5607,30950,10,,,
32170,1406,30764,16,,,
31852,6285,25567,8,,,
34910,29640,5270,13,,,
24353,18892,5461,14,,,
33865,15588,18277,15,,,
24093,3464,20629,15,,,
23659,20965,2694,9,,,
29436,2226,27210,12,,,
29044,20826,8218,12,,,
29601,18792,10809,6,,,
27092,11548,15544,12,,,
27704,12973,14731,22,,,
32106,9708,22398,16,,,
37305,20698,16607,15,,,
28839,23784,5055,12,,,
31585,13489,18096,10,,,
21175,18734,2441,7,,,
27581,21790,5791,12,,,
31343,11130,20213,12,,,
33216,20416,12800,15,,,
25086,7523,17563,11,,,
23933,2747,21186,9,,,
31929,13225,18704,16,,,
25799,16369,9430,8,,,
27981,22621,5360,13,,,
36166,19732,16434,12,,,
21336,6477,14859,13,,,
33620,24058,9562,11,,,
30337,18594,11743,18,,,
25058,21863,3195,4,,,
22391,1365,21026,5,,,
21926,12309,9617,11,,,
27425,16501,10924,13,,,
28922,14670,14252,11,,,
31444,23040,8404,11,,,
31974,23781,8193,11,,,
33230,3944,29286,17,,,
29440,16665,12775,12,,,
38165,36348,1817,23,,,
33436,21680,11756,10,,,
37687,8370,29317,16,,,
30983,21383,9600,8,,,
27695,14195,13500,22,,,
25889,4639,21250,10,,,
29500,28433,1067,10,,,
39345,34879,4466,11,,,
25939,20398,5541,14,,,
27776,25778,1998,5,,,
26221,12049,14172,15,,,
29013,22756,6257,19,,,
30353,23529,6824,11,,,
27949,3207,24742,13,,,
29214,22842,6372,12,,,
33471,31358,2113,30,,,
33546,2274,31272,7,,,
22150,11929,10221,17,,,
35044,27358,7686,20,,,
37326,14385,22941,14,,,
31212,206,31006,5,,,
29983,20153,9830,8,,,
27487,694,26793,22,,,
19755,17616,2139,12,,,
29975,16938,13037,15,,,
39601,29553,10048,14,,,
29257,23923,5334,14,,,
33326,12016,21310,17,,,
30033,20290,9743,4,,,
29971,14038,15933,16,,,
34024,3959,30065,6,,,
29714,2012,27702,12,,,
33476,14879,18597,11,,,
31209,25173,6036,20,,,
26425,244,26181,13,,,
22968,17130,5838,12,,,
27434,11758,15676,20,,,
27671,14119,13552,16,,,
27667,5870,21797,18,,,
25700,5143,20557,13,,,
33176,14741,18435,24,,,
19839,11278,8561,15,,,
31684,19247,12437,15,,,
19524,9448,10076,9,,,
33439,7269,26170,8,,,
31262,19510,11752,16,,,
29448,14792,14656,21,,,
31541,30062,1479,5,,,
27157,16837,10320,22,,,
21644,17786,3858,12,,,
27462,17591,9871,9,,,
28013,21456,6557,16,,,
27329,21213,6116,9,,,
35409,20165,15244,17,,,
24768,8370,16398,9,,,
35041,19090,15951,3,,,
29539,1870,27669,15,,,
24847,6998,17849,18,,,
32026,23000,9026,12,,,
29254,10935,18319,14,,,
33130,20683,12447,13,,,
27502,13852,13650,8,,,
31746,21541,10205,8,,,
27237,20389,6848,11,,,
33912,16021,17891,26,,,
23427,6504,16923,16,,,
27299,10409,16890,20,,,
21462,12280,9182,9,,,
25300,6588,18712,9,,,
27809,20570,7239,21,,,
27479,20944,6535,11,,,
35567,3081,32486,16,,,
36269,30577,5692,11,,,
25157,3061,22096,13,,,
29722,3326,26396,12,,,
19185,15521,3664,17,,,
25664,24993,671,17,,,
25341,11289,14052,18,,,
29817,9950,19867,8,,,
27478,2909,24569,16,,,
29128,17049,12079,13,,,
27266,1392,25874,3,,,
23601,17977,5624,16,,,
31723,18783,12940,14,,,
25152,9907,15245,16,,,
32707,12279,20428,16,,,
30126,12135,17991,9,,,
33343,30724,2619,10,,,
27453,9307,18146,16,,,
31263,19542,11721,14,,,
33468,13525,19943,14,,,
33652,14635,19017,9,,,
31395,5422,25973,4,,,
25928,16654,9274,8,,,
25659,14198,11461,18,,,
29401,10320,19081,15,,,
23563,6090,17473,15,,,
33538,18996,14542,15,,,
33655,20752,12903,6,,,
33422,1245,32177,12,,,
31819,4044,27775,4,,,
37136,27055,10081,7,,,
25250,2350,22900,9,,,
27549,5213,22336,14,,,
30199,19346,10853,21,,,
39051,32340,6711,14,,,
29819,23292,6527,13,,,
29462,5995,23467,16,,,
39402,38234,1168,12,,,
35406,31060,4346,4,,,
29074,14073,15001,7,,,
29590,20561,9029,15,,,
30693,6741,23952,28,,,
33728,27997,5731,17,,,
31693,3919,27774,9,,,
26679,13381,13298,13,,,
19580,8110,11470,14,,,
25811,12762,13049,13,,,
34335,18199,16136,10,,,
35979,4791,31188,12,,,
32323,1573,30750,23,,,
25876,1477,24399,13,,,
33929,13046,20883,19,,,
25949,21282,4667,12,,,
33986,107,33879,15,,,
29717,9918,19799,18,,,
31885,15467,16418,9,,,
26207,11630,14577,22,,,
29152,21829,7323,6,,,
25351,24404,947,16,,,
36037,19955,16082,13,,,
33772,4554,29218,6,,,
33489,11006,22483,10,,,
31735,5335,26400,25,,,
